title,link,pubDate
寒くなればなるほど、冷たいものが食べたくなったり飲みたくなったりするのって何故なんだろうか、寒い日に厚めの布団をもふっと被って寝ると寝心地がいいのは何故なんだろうか、わたしの前には不思議が溢れてるね,https://www.hinatazaka46.com/s/official/diary/detail/66153?ima=0000&cd=member,2025.10.15 22:03
煌びやかな道路は、どこまでも続く,https://www.hinatazaka46.com/s/official/diary/detail/61321?ima=0000&cd=member,2025.8.3 22:12
タイトルが思いつかなくて投稿するまでに信じられないほどの時間を使ってしまいそうだったので、その思いをタイトルにしてみようと思います。すみません、これがタイトルです。,https://www.hinatazaka46.com/s/official/diary/detail/60822?ima=0000&cd=member,2025.6.20 21:48
12の星の行き先は,https://www.hinatazaka46.com/s/official/diary/detail/59951?ima=0000&cd=member,2025.5.7 19:42
笑顔の先に映るピンクで溢れる花畑,https://www.hinatazaka46.com/s/official/diary/detail/59173?ima=0000&cd=member,2025.3.1 20:27
天使が導くブルーのひとすじ,https://www.hinatazaka46.com/s/official/diary/detail/58885?ima=0000&cd=member,2025.1.30 21:39
"今年を振り返ってみて、どうだったかなって考えたら、なんだかんだで""涙""が付き纏った一年だったなと。別に泣かないって決めてたわけじゃないけど、歳をとると涙脆くなるって本当なんだなって感じて、けど、それに反抗したい自分もいるんだよね。強くなれ自分って踏ん張った年でもあった2024にサヨナラを。その気持ちはまたお迎えします。",https://www.hinatazaka46.com/s/official/diary/detail/58536?ima=0000&cd=member,2024.12.31 21:16
冷たい夜は、暖かいホットミルク。,https://www.hinatazaka46.com/s/official/diary/detail/58203?ima=0000&cd=member,2024.11.29 23:27
9月のバースデーガールがひとり。続くは、9月は夏なのか秋なのか論争。はたして結論はいかに。私は秋と言いたい派。,https://www.hinatazaka46.com/s/official/diary/detail/57594?ima=0000&cd=member,2024.9.30 12:51
浜の夜景とマーメイド,https://www.hinatazaka46.com/s/official/diary/detail/57067?ima=0000&cd=member,2024.8.21 20:27
"タイトルどうしようかなー、そう考えてるうちに時間だけが過ぎていくんです。そしたら、ブログ更新する時間もなくなって…つまりは夜中ってことです。時間配分が""自分のこと""になると下手になるところがあって、別に計算できないわけじゃないんですけど、うまくいかない事が多いんですよね。どうしたものかと、頭を悩ませてるうちに、また時間が過ぎていくので潔く、タイトルを考えてるってことをタイトルにしてみる。",https://www.hinatazaka46.com/s/official/diary/detail/56626?ima=0000&cd=member,2024.7.11 17:21
白のダリア、想いはひと咲きに。,https://www.hinatazaka46.com/s/official/diary/detail/55797?ima=0000&cd=member,2024.5.1 17:03
窓を開けて過ごせる気候、春を堪能し夏が近づいてる雰囲気を感じる、この時期だから香る匂いにも浸りつつ、またすぐエアコンをつけなくてはならない日がくるんだろうなって気持ちに追いつく気がしなくて、ため息が溢れそう。そんなことを書きながら、なんでこんなこと言ってんだろうって思ってます。何年生きてんだって話、慣れなさい、自分。,https://www.hinatazaka46.com/s/official/diary/detail/55785?ima=0000&cd=member,2024.4.30 15:41
わたしがわたしであるために、守れるものは。,https://www.hinatazaka46.com/s/official/diary/detail/55166?ima=0000&cd=member,2024.3.20 22:02
幸せな時間が永遠に続いてほしいし、いろんな事が楽しくなってほしいし。欲張りな私と怖がりな私、それも1人のわたし。,https://www.hinatazaka46.com/s/official/diary/detail/54713?ima=0000&cd=member,2024.2.17 18:50
見えたものと見えなかったもの、その違いは。,https://www.hinatazaka46.com/s/official/diary/detail/54123?ima=0000&cd=member,2023.12.30 19:32
1つの線の狭間に立ってる時、言えばそれは県境みたいな、左右どちらかに引き寄せられる場合、体が1つしかない事が、どうしても惜しいと思っちゃって、分身なんて事ができたら、デメリットはあるだろうけど、役に立つ事だってあるんだろうなって思ったり。1つしかないのに、いろんなところに彷徨いたくなるのは、欲張りなのかと考える25日の日没のこと。,https://www.hinatazaka46.com/s/official/diary/detail/54040?ima=0000&cd=member,2023.12.25 18:25
今は甘そうで甘くないわたがしを食す、いつか味がするように。,https://www.hinatazaka46.com/s/official/diary/detail/53381?ima=0000&cd=member,2023.11.12 17:36
9月に忘れ物をしてきた10月の娘。,https://www.hinatazaka46.com/s/official/diary/detail/52734?ima=0000&cd=member,2023.10.5 16:42
しこうかいろていし。,https://www.hinatazaka46.com/s/official/diary/detail/52095?ima=0000&cd=member,2023.8.28 14:11
茜色に染まるうさぎの背中は秋頃の話,https://www.hinatazaka46.com/s/official/diary/detail/67367?ima=0000&cd=member,2025.12.30 17:46
